old_url,action,new_url
/,keep,/
/about-mediations-australia/,keep,/about-mediations-australia/
/contact-us/,keep,/contact-us/
/book-a-consultation/,keep,/book-a-consultation/
/family-law-mediation/,keep,/family-law-mediation/
/property-settlement-mediation/,keep,/property-settlement-mediation/
/parenting-plan-mediation/,keep,/parenting-plan-mediation/
/financial-agreements-mediation/,keep,/financial-agreements-mediation/
/workplace-mediation/,keep,/workplace-mediation/
/estate-dispute-mediation/,keep,/estate-dispute-mediation/
/online-divorce/,keep,/online-divorce/
/consent-orders/,keep,/consent-orders/
/divorce-counselling/,keep,/divorce-counselling/
/collaborative-family-lawyers/,keep,/collaborative-family-lawyers/
/getting-ready-for-separation/,keep,/getting-ready-for-separation/
/parenting-plan-template/,keep,/parenting-plan-template/
/separation-under-one-roof-assessment/,redirect,/separation-under-one-roof/
/family-law-cost-calculator/,redirect,/family-law-cost-estimator/
/section-601-certificate-mediation/,redirect,/section-60i-certificates/
/spousal-support-dispute-mediation/,redirect,/spousal-support-mediation/
/spousal-maintenance-australia/,redirect,/spousal-support-mediation/
/child-support-dispute-mediation/,redirect,/child-support-mediation/
/de-facto-relationship-dispute-mediation/,redirect,/de-facto-mediation/
/grandparent-mediation/,redirect,/grandparents-mediation/
/family-law-dispute-mediation/,redirect,/family-law-mediation/
/family-law-arbitrators/,rebuild,/family-law-arbitration/
/accredited-family-law-mediators/,rebuild,/our-mediators/
/family-law-practitioners/,rebuild,/our-mediators/
/our-mediators/,rebuild,/our-mediators/
/family-law-melbourne-mediation/,redirect,/melbourne-mediation/
/guides/,rebuild,/guides/
/mediation-information/,rebuild,/mediation-information/
/domestic-violence-support-services-australia/,rebuild,/domestic-violence-support-services-australia/
/memberships/,rebuild,/memberships/
/our-fee-structure/,keep,/our-fee-structure/
/preparing-for-mediation/,keep,/preparing-for-mediation/
/how-mediation-works/,keep,/how-mediation-works/
/parenting-plan-template-nsw/,rebuild,/parenting-plan-template-nsw/
/parenting-plan-template-vic/,rebuild,/parenting-plan-template-vic/
/parenting-plan-template-qld/,rebuild,/parenting-plan-template-qld/
/parenting-plan-template-wa/,rebuild,/parenting-plan-template-wa/
/make-an-appointment/,redirect,/book-a-consultation/
/lawyer-booking/,redirect,/book-a-consultation/
/online-mediation-enquiry/,redirect,/book-a-consultation/
/mediation-podcast/,rebuild,/mediation-podcast/
/law-firms/,rebuild,/for-lawyers/
/team-single/,redirect,/our-mediators/
/legal-info/,rebuild,/legal-info/
/qld/,redirect,/brisbane-mediation/
/mediation/,redirect,/how-mediation-works/
/resolve-your-property-settlement-with-mediation-in-australia/,redirect,/property-settlement-mediation/
/cost-of-divorce-in-australia/,rebuilt-this-phase,/cost-of-divorce-in-australia/
/mediation-with-a-narcissist/,rebuilt-this-phase,/mediation-with-a-narcissist/
/what-am-i-entitled-to-in-a-separation-in-australia/,rebuilt-this-phase,/what-am-i-entitled-to-in-a-separation-in-australia/
/how-long-does-mediation-take/,rebuilt-this-phase,/how-long-does-mediation-take/
/the-cost-of-divorce-in-australia/,redirect-301,/cost-of-divorce-in-australia/
/how-much-does-mediation-cost/,redirect-301,/costs-of-mediation/
/what-am-i-entitled-to-in-a-separation/,redirect-301,/what-am-i-entitled-to-in-a-separation-in-australia/
/what-am-i-entitled-to-in-a-divorce-or-separation-in-australia/,redirect-301,/what-am-i-entitled-to-in-a-separation-in-australia/
/how-to-get-ready-for-mediation/,redirect-301,/preparing-for-mediation/
/how-to-prepare-for-a-property-settlement-mediation/,redirect-301,/preparing-for-mediation/
/how-to-get-ready-for-property-settlement-mediation/,redirect-301,/preparing-for-mediation/
/shuttle-mediation/,redirect-301,/the-pros-and-cons-of-shuttle-mediation/
/consent-order/,redirect-301,/consent-orders/
/spousal-maintenance/,redirect-301,/spousal-support-mediation/
/de-facto-relationships/,redirect-301,/de-facto-mediation/
/separated-under-one-roof/,redirect-301,/separation-under-one-roof/
/divorce-without-a-lawyer/,redirect-301,/divorce-without-lawyers/
/sydney-family-lawyers/,redirect-301-rebrand,/sydney-mediation/
/melbourne-family-lawyers/,redirect-301-rebrand,/melbourne-mediation/
/brisbane-family-lawyers/,redirect-301-rebrand,/brisbane-mediation/
/perth-family-lawyers/,redirect-301-rebrand,/perth-mediation/
/adelaide-family-lawyers/,redirect-301-rebrand,/adelaide-mediation/
/canberra-family-lawyers/,redirect-301-rebrand,/canberra-mediation/
/gold-coast-family-lawyers/,redirect-301-rebrand,/gold-coast-mediation/
/newcastle-family-lawyers/,redirect-301-rebrand,/newcastle-mediation/
/wollongong-family-lawyers/,redirect-301-rebrand,/wollongong-mediation/
/geelong-family-lawyers/,redirect-301-rebrand,/geelong-mediation/
/hobart-family-lawyers/,redirect-301-rebrand,/hobart-mediation/
/darwin-family-lawyers/,redirect-301-rebrand,/darwin-mediation/
/townsville-family-lawyers/,redirect-301-rebrand,/townsville-mediation/
/toowoomba-family-lawyers/,redirect-301-rebrand,/toowoomba-mediation/
/rockhampton-family-lawyers/,redirect-301-rebrand,/rockhampton-mediation/
/bendigo-family-lawyers/,redirect-301-rebrand,/bendigo-mediation/
/launceston-family-lawyers/,redirect-301-rebrand,/launceston-mediation/
/north-sydney-family-lawyers/,redirect-301-rebrand,/sydney-mediation/
/central-coast-family-lawyers/,redirect-301-rebrand,/newcastle-mediation/
/ipswich-family-lawyers/,redirect-301-rebrand,/brisbane-mediation/
/penrith-family-lawyers/,redirect-301-rebrand,/sydney-mediation/
/ballarat-family-lawyers/,redirect-301-rebrand,/geelong-mediation/
/mandurah-family-lawyers/,redirect-301-rebrand,/perth-mediation/
/campbelltown-family-lawyers/,redirect-301-rebrand,/sydney-mediation/
